candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes
Barnard Jon White,County Council,2008,2008-10-22,Pre-General,c_and_e_report,922,922,,0,,,,,,,,0,0,raw/2008/2008_wb_bjwhite.pdf,cache_county|37f2239268f3|raw/2008/2008_wb_bjwhite.pdf,high,'TOTALS FROM LAST REPORT' column left entirely blank.
Tennille Johnson,Recorder,2024,2024-11-01,Pre-General,c_and_e_report,,672.12,,672.12,,,,,,,,0,0,raw/2024/2024_cc_2024_General_Tennille_Johnson.pdf,cache_county|11f78fab6f93|raw/2024/2024_cc_2024_General_Tennille_Johnson.pdf,high,"only the This-Period column is filled in — cannot tell from the filing whether earlier activity exists; Four pages: 1 cover, 2 Schedule A (empty), 3 Schedule B (two itemized lines), 4 Summary Page. Filled in by hand in blue ink; scan quality very good, everything legible. No statutory citation is printed anywhere on the form. CONTRADICTS THE LEDGER (flagged, not corrected here): the ledger carries form_family='campaign_report_variant_unread' and scope_status='undetermined', but the page is unambiguously the Cache County Clerk/Auditor 'Candidate Financial Disclosure / Financial Campaign Report for County Offices' instrument with a clearly handwritten Office line reading 'Recorder' - a county office. Note this variant of the printed header omits 'and Local School Board Candidates', so the instrument itself is county-only. The ledger candidate name 'Tennille Johnson' matches the form exactly. NOT an amendment ('No' is marked). ZERO GLYPHS: Schedule A's 'Subtotal for this page' and 'Total Contributions Received' are each a small hand-drawn open O used as a zero - transcribed '0' at confidence medium per protocol rule 3. Schedule B's two printed lines are 'Jan 2, 24 / Cache County Clerk / Filing Fee / $ 597.12' and 'march 25, 24 / Ryan Smith / Speech Writing / $ 75.00' (the cents on the second are written as a raised 'oo'), over a 'Subtotal for this page $ 672.12' and 'Total Expenditures Made $ 672.12'. Cents throughout the filing are written as raised superscript digits after the point (e.g. '672.^12'); recorded as ordinary decimals since the digits themselves are unambiguous. SUMMARY PAGE PARTIALLY BLANK: boxes A, B, C, E and F carry no writing at all and are recorded as '' - I did not compute or infer them. INTERNAL DISAGREEMENT recorded, not reconciled: the 'Balance at Close of Reporting Period (Box F - Box D)' box reads '$ 672.12' positive, while box D (expenditures this period) is also 672.12 and box F is blank; taken literally F - D could not be +672.12. The printed value is recorded verbatim as the filer wrote it. Received stamp runs vertically inside the shaded 'Office Use Only' box at the lower right of page 1; 'CLERK/AUDITOR RCVD', '2024 OCT 18' and 'PM' are legible, the clock time after 'PM' is not, so it is omitted rather than guessed (confidence low)."
Craig McAllister,Treasurer,2024,2024-11-01,Pre-General,c_and_e_report,0,747.25,0,-747.25,,,,,,,,0,0,raw/2024/2024_cc_2024_General_Craig_McAllister.pdf,cache_county|47fa3535ca90|raw/2024/2024_cc_2024_General_Craig_McAllister.pdf,medium,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; Six pages: 1 cover, 2 Schedule A (empty), 3 Schedule B, 4 Summary Page, 5-6 receipt attachments. Handwritten in block capitals; scan quality good. No statutory citation is printed on any page. ZERO GLYPHS: boxes A, B, C and F on the Summary Page, and both Schedule A totals ('Subtotal for this page' and 'Total Contributions Received'), are each a hand-drawn slashed/crossed O used as a zero - transcribed '0' at confidence medium per protocol rule 3. Schedule B's three printed lines are 1/2/2024 CACHE COUNTY CLERK / FILING FEE 582.68; 1/2/2024 CACHE COUNTY CLERK / CREDIT CARD SERVICE 14.57; 1/11/2024 CACHE COUNTY REPUBLICAN PARTY / Lincoln Day Dinner 150.00, and the page also carries a photocopied adding-machine tape ('582.68 * + / 14.57 + / 150.00 + / 747.25 *', marked 003) beside the printed 'Subtotal for this page $747.25' and 'Total Expenditures Made $747.25'. REPORT-TYPE ANOMALY (recorded as marked, not corrected): the marked box is 'Seven days preceding the PRIMARY Election', yet the report is dated 10/28/2024 and was received by the Clerk in late October - i.e. general-election timing; the ledger and filename call this a 2024 General filing. NAME NOTE, not a contradiction of the ledger: the page-5 Cache County Clerk payment receipt for the $582.68 filing fee names the payer 'Byron C McAllister' while the form is signed 'CRAIG McALLISTER' - consistent with a filer who goes by a middle name; both are recorded as printed and neither is merged. Page 6 is a sideways-scanned Cache County Republican Party receipt, $150.00, 2x Individual Dinner Tickets, Craig McAllister, 01/11/2024. A vertical CLERK/AUDITOR received stamp runs down the left margin of page 1; 'CLERK/AUDITOR RCVD' and '2024 OCT 29 PM' are legible, the clock time after 'PM' is not, so it is omitted rather than guessed (confidence low)."
Jeffrey Wallentine,,2026,2026-01-07,Final / Year-End Summary,c_and_e_report,0,0,0,0,,,,,,,,0,0,raw/2026/2026_cc_2026_Financial_Disclosure_PreCon_Jeffrey_Wallentine.pdf,cache_county|d324e1012255|raw/2026/2026_cc_2026_Financial_Disclosure_PreCon_Jeffrey_Wallentine.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; Electronically-filled county CFD form (Cache County Office of the Clerk header), 4 pages: cover, Schedule A, Schedule B, Summary Page. No statutory citation is printed on the form. Amendment radio marked 'No'. SCOPE: the office line is fully legible and reads 'Cache County Two' - it does NOT name a county office from the standard list, and it does NOT name a school-board seat, so scope is recorded as 'undetermined' rather than guessed in either direction; the seat text 'Two' is preserved. This does not confirm the repo's hypothesis that Wallentine is a school-board filer, nor does it refute it - the page carries no such evidence either way. Report type marked is 'Seven days preceding the General Election', which is at odds with the source filename's 'PreCon' (pre-convention) label and with the 01-02-2026 signing date; recorded as marked. Address line runs together as '305 West Haven Drive Logan' with 'Utah 84321' under City/State/Zip - the City cell itself is effectively blank, so residence_city 'Logan' is taken from the address line at medium confidence. Schedule A and Schedule B both carry a typed 'N/A' on the first line with no itemized rows, and both print '$0' subtotal and '$ 0' total lines. All Summary Page boxes A-F and the closing balance print '0'. Ledger candidate 'Jeffrey Wallentine' matches the page."
Bryson Behm,Clerk/Auditor,2026,2026-03-23,,c_and_e_report,0,1655.65,0,-1655.65,,1655.65,,True,,0.00,0.00,0,2,raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_Bryson_Behm.pdf,cache_county|e9e371c3639a|raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_Bryson_Behm.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; ITEMIZED LAYER: 0 contribution / 2 expenditure row(s) parsed by the registered `cache_cfd` family from the born-digital text layer, each side reconciled EXACTLY to the stated total; period_basis=period_equals_ytd (is_incremental=False); per-row `geometry` records the amount cell read"
Bryson J. Behm,Clerk/Auditor,2026,2026-06-16,Pre-Primary,c_and_e_report,0,0,-1655.65,-1655.65,,,,,,,,0,0,raw/2026/2026_cc_2026_Financial_Disclosure_June16_Bryson_Behm.pdf,cache_county|ac16117ee98d|raw/2026/2026_cc_2026_Financial_Disclosure_June16_Bryson_Behm.pdf,high,This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide
David Gillie,Clerk/Auditor,2026,2026-04-03,,c_and_e_report,1000,817.39,0,182.61,,,,,,,,0,0,raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_David_Gillie.pdf,cache_county|2645e4f6adbd|raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_David_Gillie.pdf,medium,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; SCOPE FINDING - THIS IS NOT A SCHOOL-BOARD FILING. The repo documentation flags David Gillie as a likely 2026 school-board filer; the page says otherwise. The 'Office' box is filled in clearly and legibly, in the filer's own printing, as 'Cache County Clerk', and the campaign email address written just to its right is 'realelections@gillieforcountyclerk.com' (the domain wraps onto a second line above the Email box). Nothing on any of the four pages names a school-board seat or district. Decided on this document's own page evidence alone. Four pages: 1 cover, 2 Schedule A (one line), 3 Schedule B (four lines), 4 Summary Page. Born-digital 2026 'Candidate Financial Disclosure / Financial Campaign Report for County Offices and Local School Board Candidates' instrument (the 2026 revision carries the Cache County 1857 'OFFICE OF THE CLERK' seal at the top of every page); completed by hand in pencil/graphite, scan clean, all figures legible. No statutory citation printed. TYPE OF REPORT: none of the three printed radio buttons ('30 Days after elimination' / 'Seven days preceding the General Election' / '30 Days after the General Election') is marked; instead the filer hand-wrote 'Campaign Finance Report' across the Type of Report header line and 'Pre-Convention Report' in the space beneath the amendment question. 'Is this report an amendment?' is marked No. There is no Clerk received stamp on page 1 - the 'Office Use Only' box is empty and both its checkboxes ('Logged', 'Transmitted') are unmarked - so received_stamp is '' honestly, not unreadable. ZERO GLYPH: Summary box A is a hand-drawn open O used as a zero - transcribed '0' at confidence medium per protocol rule 3. Boxes B/C/F are written '1,000' with no cents and no dollar sign; D/E/closing carry cents. Schedule A's single line is '1 JAN 2026 / Self / 1839 North 200 West, Logan, UT 84341 / 1,000' with 'Subtotal for this page $ 1,000' and 'Total Contributions Received $ 1,000'. Schedule B's four lines are 7 JAN 2026 Cache County / Filing Fee / 665; 4 FEB 2026 Go Daddy / Online Services / 22.38; 5 FEB 2026 Go Daddy / Online Services / 107.87; 2 APR 2026 GoDaddy / Online Services / 22.14, over 'Subtotal for this page $ 817.39' and 'Total Expenditures Made $ 817.39' (the itemization is recorded here as context only - this tranche transcribes stated totals, not line items). The filing's stated figures are internally consistent as printed; no arithmetic was performed for the filer. Ledger agreement: ledger candidate 'David Gillie' matches the form's 'David R. Gillie'; ledger scope_status='undetermined' is now resolved to county by the page."
David R. Gillie,Clerk/Auditor,2026,2026-06-16,Pre-Primary,c_and_e_report,0,0,182.61,182.61,,,,,,,,0,0,raw/2026/2026_cc_2026_Financial_Disclosure_June16_David_Gillie.pdf,cache_county|9a86770ba95c|raw/2026/2026_cc_2026_Financial_Disclosure_June16_David_Gillie.pdf,high,"SCOPE FINDING - THIS IS NOT A SCHOOL-BOARD FILING. As with this filer's April filing, the 'Office' box is clearly written 'Cache County Clerk' and no page names a school-board seat. Decided on this document's own page evidence alone. Four pages: 1 cover, 2 Schedule A (one line), 3 Schedule B (four lines), 4 Summary Page; the 2026 instrument with the Cache County 1857 'OFFICE OF THE CLERK' seal on every page, completed by hand in pencil/graphite, clean scan, all figures legible. No statutory citation printed. TYPE OF REPORT: the printed radio button 'Seven days preceding the General Election' IS marked on this filing (unlike the same filer's April filing, where no box was marked), and the filer also hand-wrote 'Campaign Finance Report' across the Type of Report header line. 'Is this report an amendment?' is marked No. No Clerk received stamp appears on page 1 - the 'Office Use Only' box is empty and both checkboxes are unmarked - so received_stamp is '' honestly, not unreadable. 'None' IS THE PRINTED WORD: boxes B (Contributions Received This Period) and D (Expenditures Made This Period) are written out as the word 'None', not as a figure or a zero glyph; recorded verbatim per protocol rule 2. There are no zero glyphs on this filing. SCHEDULES ARE CARRIED FORWARD, NOT NEW ACTIVITY: Schedule A repeats the single line '1 JAN 2026 / Self / 1839 North 200 West, Logan, UT 84341 / 1,000' and Schedule B repeats the same four lines as the April filing (7 JAN 2026 Cache County Filing Fee 665; 4 FEB 2026 Go Daddy Online Services 22.38; 5 FEB 2026 Go Daddy Online Services 107.87; 2 APR 2026 GoDaddy Online Services 22.14), with the same printed totals - so schedule_totals here restate the cycle-to-date figures while summary boxes B and D report 'None' for this period. That is the form as filed; nothing was reconciled or recomputed. Ledger agreement: ledger candidate 'David R. Gillie' matches the form exactly; ledger scope_status='undetermined' is now resolved to county by the page. Consistent with, but decided independently of, the same filer's April 3 filing (cache_key d93e2755), whose closing balance 182.61 is this filing's opening balance."
Matthew Funk,Clerk/Auditor,2026,2026-03-24,,c_and_e_report,655.65,655.65,0,0,655.65,655.65,True,True,0.00,0.00,655.65,1,1,raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_Matt_Funk.pdf,cache_county|cbcc49fdfb83|raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_Matt_Funk.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; ITEMIZED LAYER: 1 contribution / 1 expenditure row(s) parsed by the registered `cache_cfd` family from the born-digital text layer, each side reconciled EXACTLY to the stated total; period_basis=period_equals_ytd (is_incremental=False); per-row `geometry` records the amount cell read"
Matthew Funk,Clerk/Auditor,2026,2026-06-16,Pre-Primary,c_and_e_report,0,0,0,0,,,,,,,,0,0,raw/2026/2026_cc_2026_Financial_Disclosure_June16_Matt_Funk.pdf,cache_county|8014744c3b86|raw/2026/2026_cc_2026_Financial_Disclosure_June16_Matt_Funk.pdf,high,
Chris Daines,County Attorney,2026,2026-04-06,,c_and_e_report,12822.34,12434.39,536.55,924.50,,,,,,,,0,0,raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_Chris_Daines.pdf,cache_county|65b0aa2d717b|raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_Chris_Daines.pdf,high,"SCOPE FINDING - THIS IS NOT A SCHOOL-BOARD FILING. The repo documentation flags Chris Daines as a likely 2026 school-board filer; the page says otherwise. The 'Office' box is filled in legibly, in the filer's own hand, as 'County Attorney', and nothing on any of the four pages names a school-board seat, district or the school district. Decided on this document's own page evidence alone (no sibling filing or ledger value was used). Four pages: 1 cover (handwritten), 2 Schedule A, 3 Schedule B, 4 Summary Page. HYBRID FORM: the 2026 'Candidate Financial Disclosure / Financial Campaign Report for County Offices and Local School Board Candidates' instrument (Cache County 1857 'OFFICE OF THE CLERK' seal at the head of every page), with the cover and Summary Page completed BY HAND but Schedules A and B completed as a TYPED/printed table pasted into the ruled area - unusually clean for this corpus, every line item machine-legible. No statutory citation printed. TYPE OF REPORT: none of the three printed radio buttons is marked. The filer instead wrote across the Type of Report line '* Special [one word heavily struck through and not readable] timeframe', and in the block beside the amendment question '* 7 Calendar days before CC Republican Convention.' with a right-hand column reading '[a struck-through word] From 3/4/26 through 4/2/26'. The struck-out words are genuinely illegible under the strike-through and are marked as such rather than guessed (report_type_marked confidence medium for that reason). 'Is this report an amendment?' is marked No (an X through the No bullet). Received stamp is printed cleanly at the top right of page 1: 'CACHE CO CLERK RCVD 2026 APR 3 PM 4:14'. SCHEDULE TOTALS: Schedule A's typed table carries a bottom-row total '$12,822.34' (struck through with a horizontal line, apparently by the same pen that then wrote the handwritten totals below it) and the handwritten 'Subtotal for this page $ 12,822.34' / 'Total Contributions Received $ 12,822.34'; the struck typed figure and the handwritten figure agree, so the strike-through appears to be a stylistic underline rather than a correction - recorded here as observed, not interpreted. Schedule B's typed table bottom row reads '$12,434.39' with handwritten 'Subtotal for this page $ 12,434.39' / 'Total Expenditures Made $ 12,434.39'. Box F was verified on a 3x crop as '$13,358.89' (the decimal point is a faint dot) and box E as '$15,559.52'. All Summary boxes are filled; no zero glyphs on this filing. No arithmetic was performed for the filer; every stated figure is recorded as printed. Ledger agreement: ledger candidate 'Chris Daines' matches the form exactly; ledger scope_status='undetermined' is now resolved to county by the page. CONTEXT (not part of the totals tranche): Schedule A itemizes 27 lines, all but two of them 'Chris Daines ... Loan' self-loans, plus two Joanna Coltrin lines; Schedule B's largest lines are Square One Printing $7,915.90 and Cache Valley Media Group $2,650.00."
Chris Daines,County Attorney,2026,2026-03-05,,c_and_e_report,3661.68,3125.13,0,536.55,,,,,,,,0,0,raw/2026/2026_cc_2026_Financial_Disclosure_Mar5_Chris_Daines.pdf,cache_county|28de96ccb8eb|raw/2026/2026_cc_2026_Financial_Disclosure_Mar5_Chris_Daines.pdf,medium,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; Hand-completed county CFD form (Cache County Office of the Clerk header), scanned; 4 pages: cover, Schedule A, Schedule B, Summary Page. No statutory citation printed on the form. Amendment marked 'No'. SCOPE: this is NOT a school-board filing - the office line plainly reads 'County Attorney' in the filer's hand, contradicting the repo's hypothesis that Chris Daines is among the likely 2026 school-board filers. Summary Page Box A is a handwritten '$' followed by a slashed/crossed O glyph used as a zero, transcribed '$0' at medium confidence per protocol. Schedule A page 2 prints a handwritten total '$3,661.68' (typed in-table trailing figure '$3,661.68' as well) and Schedule B page 3 a handwritten total '$3,125.13' (typed in-table trailing figure '$3,125.13'); both recorded verbatim, nothing summed or reconciled by the transcriber. Date-of-report inconsistency within the document: pages 1, 2 and 4 read '3/5/26' while page 3 (Schedule B) reads '3/6/26'. Two contributor/expenditure line dates read '2/13/27' where the surrounding rows are 2026 - recorded as an observation only, not corrected. Ledger candidate 'Chris Daines' matches the page."
Dane Murray,County Attorney,2026,2026-04-03,,c_and_e_report,1050.00,735.69,-4062.39,-3748.08,1050.0,735.69,True,True,0.00,0.00,0.00,2,17,raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_Dane_Murray.pdf,cache_county|626950e2b5ed|raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_Dane_Murray.pdf,high,"ITEMIZED LAYER: 2 contribution / 17 expenditure row(s) parsed by the registered `cache_cfd` family from the born-digital text layer, each side reconciled EXACTLY to the stated total; period_basis=period_and_ytd_differ (is_incremental=True); per-row `geometry` records the amount cell read"
Dane Murray,County Attorney,2026,2026-06-16,Pre-Primary,c_and_e_report,4621.36,9358.57,-3748.08,-8485.29,4621.36,,True,,0.00,,0.00,17,0,raw/2026/2026_cc_2026_Financial_Disclosure_June16_Dane_Murray.pdf,cache_county|216d926f5b0a|raw/2026/2026_cc_2026_Financial_Disclosure_June16_Dane_Murray.pdf,high,"ITEMIZED expend WITHHELD: 41 parsed row(s) sum to 9271.90 against a stated 9358.57 — the side does not reconcile, so NOTHING is emitted (SCHEMA.md §6); ITEMIZED LAYER: 17 contribution / 0 expenditure row(s) parsed by the registered `cache_cfd` family from the born-digital text layer, each side reconciled EXACTLY to the stated total; period_basis=period_and_ytd_differ (is_incremental=True); per-row `geometry` records the amount cell read"
Dane Murray,County Attorney,2026,2026-03-04,,c_and_e_report,425,4487.39,0,-4062.39,,,,,,,,0,0,raw/2026/2026_cc_2026_Financial_Disclosure_Mar4_Dane_Murray.pdf,cache_county|bddeae11c535|raw/2026/2026_cc_2026_Financial_Disclosure_Mar4_Dane_Murray.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; ITEMIZED contrib WITHHELD: 3 parsed row(s) sum to -25.00 against a stated 425.00 — the side does not reconcile, so NOTHING is emitted (SCHEMA.md §6); ITEMIZED expend WITHHELD: 14 parsed row(s) sum to -2744.99 against a stated 4487.39 — the side does not reconcile, so NOTHING is emitted (SCHEMA.md §6)"
J. Brett Chambers,County Attorney,2026,2026-04-03,,c_and_e_report,600.00,10718.43,0,-10118.43,,,,,,,,0,0,raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_J_Brett_Chambers.pdf,cache_county|80a7e4c8e93e|raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_J_Brett_Chambers.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; FIELD SHIFT (isolated, 1 of 28 rows KEPT and flagged needs_review=1): line 116: vendor_raw reads 'April 3, 2026', a DATE token. The filer's own malformed date is not in the `cache_cfd` date grammar, so the token slid into the name column; the amount is unaffected and the side still reconciles. FAMILY LIMITATION, documented not patched.; contrib: the born-digital face states a total but itemizes no row this family can read cleanly — reconciliation UNKNOWN, never a fabricated mismatch; ITEMIZED expend WITHHELD: 28 parsed row(s) sum to 10721.43 against a stated 10718.43 — the side does not reconcile, so NOTHING is emitted (SCHEMA.md §6)"
J. Brett Chambers,County Attorney,2026,2026-06-16,Pre-Primary,c_and_e_report,49905.30,40135.30,-10118.43,-348.43,,40135.3,,True,,0.00,0.00,0,29,raw/2026/2026_cc_2026_Financial_Disclosure_June16_J_Brett_Chambers.pdf,cache_county|edac4c138557|raw/2026/2026_cc_2026_Financial_Disclosure_June16_J_Brett_Chambers.pdf,high,"ITEMIZED contrib WITHHELD: 10 parsed row(s) sum to 51681.30 against a stated 49905.30 — the side does not reconcile, so NOTHING is emitted (SCHEMA.md §6); ITEMIZED LAYER: 0 contribution / 29 expenditure row(s) parsed by the registered `cache_cfd` family from the born-digital text layer, each side reconciled EXACTLY to the stated total; period_basis=period_and_ytd_differ (is_incremental=True); per-row `geometry` records the amount cell read"
J. Brett Chambers,County Attorney,2026,2026-03-04,,c_and_e_report,500,0,0,500,,,,,,,,0,0,raw/2026/2026_cc_2026_Financial_Disclosure_Mar4_J_Brett_Chambers.pdf,cache_county|c2770d5092f3|raw/2026/2026_cc_2026_Financial_Disclosure_Mar4_J_Brett_Chambers.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; contrib: the born-digital face states a total but itemizes no row this family can read cleanly — reconciliation UNKNOWN, never a fabricated mismatch"
Allison Goulais,County Council,2026,2026-06-16,Pre-Primary,c_and_e_report,0,0,0,0,,,,,,,,0,0,raw/2026/2026_cc_2026_Financial_Disclosure_June16_Allison_Goulais.pdf,cache_county|69dfedf8ed45|raw/2026/2026_cc_2026_Financial_Disclosure_June16_Allison_Goulais.pdf,high,"ITEMIZED expend WITHHELD: 1 parsed row(s) sum to 140.94 against a stated 0.00 — the side does not reconcile, so NOTHING is emitted (SCHEMA.md §6)"
Allison Goulais,County Council,2026,2026-03-24,,c_and_e_report,140.94,140.94,0,0,,140.94,,True,,0.00,0.00,0,1,raw/2026/2026_cc_2026_Financial_Disclosure_Mar20_Allison_Goulais.pdf,cache_county|ec8e91561624|raw/2026/2026_cc_2026_Financial_Disclosure_Mar20_Allison_Goulais.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; contrib: the born-digital face states a total but itemizes no row this family can read cleanly — reconciliation UNKNOWN, never a fabricated mismatch; ITEMIZED LAYER: 0 contribution / 1 expenditure row(s) parsed by the registered `cache_cfd` family from the born-digital text layer, each side reconciled EXACTLY to the stated total; period_basis=period_equals_ytd (is_incremental=False); per-row `geometry` records the amount cell read"
JoAnn Bennett,County Council,2026,2026-04-03,,c_and_e_report,0,450,,-450,,450.0,,True,,0.00,0.00,0,1,raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_JoAnn_Bennett.pdf,cache_county|d00be4331017|raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_JoAnn_Bennett.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; ITEMIZED LAYER: 0 contribution / 1 expenditure row(s) parsed by the registered `cache_cfd` family from the born-digital text layer, each side reconciled EXACTLY to the stated total; period_basis=period_equals_ytd (is_incremental=False); per-row `geometry` records the amount cell read"
JoAnn Bennett,County Council,2026,2026-06-16,Pre-Primary,c_and_e_report,0,0,0,0,,,,,,,,0,0,raw/2026/2026_cc_2026_Financial_Disclosure_June16_JoAnn_Bennett.pdf,cache_county|067217f74c5d|raw/2026/2026_cc_2026_Financial_Disclosure_June16_JoAnn_Bennett.pdf,high,
JoAnn Bennett,County Council,2026,2026-01-07,Final / Year-End Summary,c_and_e_report,0,0,0,0,,,,,,,,0,0,raw/2026/2026_cc_2026_Financial_Disclosure_PreCon_JoAnn_Bennett.pdf,cache_county|2582816301ef|raw/2026/2026_cc_2026_Financial_Disclosure_PreCon_JoAnn_Bennett.pdf,high,This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide
Kathryn A Beus,County Council,2026,2026-06-16,Pre-Primary,c_and_e_report,0,107.25,-209,101.75,,107.25,,True,,0.00,0.00,0,2,raw/2026/2026_cc_2026_Financial_Disclosure_June16_Kathryn_A_Beus.pdf,cache_county|bf62987aed78|raw/2026/2026_cc_2026_Financial_Disclosure_June16_Kathryn_A_Beus.pdf,high,"ITEMIZED LAYER: 0 contribution / 2 expenditure row(s) parsed by the registered `cache_cfd` family from the born-digital text layer, each side reconciled EXACTLY to the stated total; period_basis=period_and_ytd_differ (is_incremental=True); per-row `geometry` records the amount cell read"
Kathryn A. Beus,County Council,2026,2026-03-25,,c_and_e_report,225,434.92,0,-209.92,,434.92,,True,,0.00,0.00,0,5,raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_Kathryn_Beus.pdf,cache_county|f3857c521e94|raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_Kathryn_Beus.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; contrib: the born-digital face states a total but itemizes no row this family can read cleanly — reconciliation UNKNOWN, never a fabricated mismatch; ITEMIZED LAYER: 0 contribution / 5 expenditure row(s) parsed by the registered `cache_cfd` family from the born-digital text layer, each side reconciled EXACTLY to the stated total; period_basis=period_equals_ytd (is_incremental=False); per-row `geometry` records the amount cell read"
Lizette Villegas,County Council,2026,2026-06-16,Pre-Primary,c_and_e_report,0,0,0,0,,0.0,,True,,0.00,0.00,0,1,raw/2026/2026_cc_2026_Financial_Disclosure_June16_Lizette_Villegas.pdf,cache_county|ad5e2f210325|raw/2026/2026_cc_2026_Financial_Disclosure_June16_Lizette_Villegas.pdf,high,"ITEMIZED LAYER: 0 contribution / 1 expenditure row(s) parsed by the registered `cache_cfd` family from the born-digital text layer, each side reconciled EXACTLY to the stated total; period_basis=period_and_ytd_differ (is_incremental=True); per-row `geometry` records the amount cell read"
Lizette Villegas,County Council,2026,2026-03-20,,c_and_e_report,60,53.04,0,6.96,60.0,,True,,0.00,,0.00,1,0,raw/2026/2026_cc_2026_Financial_Disclosure_Mar20_Lizette_Villegas.pdf,cache_county|5f39ee6b04cb|raw/2026/2026_cc_2026_Financial_Disclosure_Mar20_Lizette_Villegas.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; expend: the born-digital face states a total but itemizes no row this family can read cleanly — reconciliation UNKNOWN, never a fabricated mismatch; ITEMIZED LAYER: 1 contribution / 0 expenditure row(s) parsed by the registered `cache_cfd` family from the born-digital text layer, each side reconciled EXACTLY to the stated total; period_basis=period_equals_ytd (is_incremental=False); per-row `geometry` records the amount cell read"
Mark Hurd,County Council,2026,2026-04-03,,c_and_e_report,397.76,613.88,612.30,396.18,397.76,613.88,True,True,0.00,0.00,222.76,5,7,raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_Mark_Hurd.pdf,cache_county|0c3487391aa5|raw/2026/2026_cc_2026_Financial_Disclosure_Apr_3_Mark_Hurd.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; ITEMIZED LAYER: 5 contribution / 7 expenditure row(s) parsed by the registered `cache_cfd` family from the born-digital text layer, each side reconciled EXACTLY to the stated total; period_basis=period_equals_ytd (is_incremental=False); per-row `geometry` records the amount cell read"
Mark Hurd,County Council,2026,2026-06-16,Pre-Primary,c_and_e_report,316.72,508.83,238.77,46.66,316.72,508.83,True,True,0.00,0.00,316.72,3,10,raw/2026/2026_cc_2026_Financial_Disclosure_June16_Mark_Hurd.pdf,cache_county|d3b00c109374|raw/2026/2026_cc_2026_Financial_Disclosure_June16_Mark_Hurd.pdf,high,"ITEMIZED LAYER: 3 contribution / 10 expenditure row(s) parsed by the registered `cache_cfd` family from the born-digital text layer, each side reconciled EXACTLY to the stated total; period_basis=period_and_ytd_differ (is_incremental=True); per-row `geometry` records the amount cell read"
