ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,body,n_vote_events,independent_source,minutes_path,note
93 of 2024,2024-12-10,2024-12-10,"Adopt Ordinance 93 of 2024 amending the Fiscal Year 2025 final budget of Salt Lake City including the employment staffing document for specified items, and adopt a legislative intent statement requesting a written report evaluating the City Prosecutor's Office structure and operations.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-12-10,4,within_source,Council,1,,minutes/2024/2024-12-09/2024-12-10_revised-council-formal-meeting.md,
94 of 2024,2024-12-10,2024-12-10,"Adopt Ordinance 94 of 2024 approving a $350,000 loan for Frontier Fruit, LLC from the Economic Development Loan Fund.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-12-10,6,within_source,Council,1,,minutes/2024/2024-12-09/2024-12-10_revised-council-formal-meeting.md,
1 of 2025,2025-01-07,2025-01-07,"Adopt Ordinance 01 of 2025, amending the zoning map for a portion of the property located at approximately 333 West 700 South.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2025-01-07,3,medium,Council,1,,minutes/2025/2025-01-06/2025-01-07_council-formal-meeting.md,
2 of 2025,2025-01-07,2025-01-07,"Adopt Ordinance 02 of 2025, amending the zoning of the properties at approximately 238 South Concord Street and 1255 West Pierpont Avenue from R-1/5,000 to RMF-30.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2025-01-07,4,medium,Council,1,,minutes/2025/2025-01-06/2025-01-07_council-formal-meeting.md,
3 of 2025,2025-01-07,2025-01-07,Adopt Ordinance 03 of 2025 (Northpoint Light Industrial Zoning Text Amendment).,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2025-01-07,5,medium,Council,1,,minutes/2025/2025-01-06/2025-01-07_council-formal-meeting.md,
4 of 2025,2025-01-07,2025-01-07,"Adopt Ordinance 04 of 2025, amending chapters 2.46 and 2.68 of Salt Lake City Code relating to campaign finance disclosures and city elections.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-01-07,10,within_source,Council,1,,minutes/2025/2025-01-06/2025-01-07_council-formal-meeting.md,
5 of 2025,2025-01-07,2025-01-07,Adopt Ordinance 05 of 2025 (Council Compensation Change).,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,5-2 Pass,2025-01-07,11,within_source,Council,1,,minutes/2025/2025-01-06/2025-01-07_council-formal-meeting.md,
6 of 2025,2025-01-21,2025-01-21,"Close the public hearing and adopt Ordinance 6 of 2025, amending the Fiscal Year 2025 final budget of the Salt Lake City Library by reallocating $190,000 from employee benefits to capital projects to fund the roof renovation project.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-01-21,3,within_source,Council,1,,minutes/2025/2025-01-20/2025-01-21_council-formal-meeting.md,
7 of 2025,2025-01-21,2025-01-21,Adopt Ordinance 7 of 2025 for City-wide Text Amendment for Gas Station Standards.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-01-21,4,within_source,Council,1,,minutes/2025/2025-01-20/2025-01-21_council-formal-meeting.md,
8 of 2025,2025-01-21,2025-01-21,"Adopt Ordinance 8 of 2025, amending the Consolidated Fee Schedule related to the rate stabilization fee in the water and sanitary sewer utilities.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-01-21,6,within_source,Council,1,,minutes/2025/2025-01-20/2025-01-21_council-formal-meeting.md,
9 of 2025,2025-02-04,2025-02-04,"Adopt Ordinance 09 of 2025, approving a $350,000 loan for Gorkha Enterprises, DBA Himalayan Kitchen from the Economic Development Loan Fund.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-02-04,5,within_source,Council,1,,minutes/2025/2025-02-03/2025-02-04_revised-council-formal-meeting.md,
10 of 2025,2025-02-18,2025-02-18,"Adopt Ordinance 10 of 2025, approving a $75,000 loan for Policy Kings Brewery, LLC from the Economic Development Loan Fund.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-02-18,4,within_source,Council,1,,minutes/2025/2025-02-17/2025-02-18_council-formal-meeting.md,
11 of 2025,2025-02-18,2025-02-18,"Adopt Ordinance 11 of 2025, amending the final budget of Salt Lake City, including the employment staffing document, for Fiscal Year 2024-2025, addressing all remaining requests except item A-2.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-02-18,3,within_source,Council,1,,minutes/2025/2025-02-17/2025-02-18_council-formal-meeting.md,
12 of 2025,2025-02-18,2025-02-18,"Adopt Ordinance 12 of 2025, Enacting a Temporary Land Use Regulation – Public School Development Standards.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2025-02-18,6,within_source,Council,1,,minutes/2025/2025-02-17/2025-02-18_council-formal-meeting.md,
13 of 2025,2026-02-17,2026-02-17,"Adopt Resolution 4 of 2026, extending the time period to comply with the condition in Ordinance 13 of 2025 for an additional twelve months for the alley vacation near 300 West and Paxton Avenue.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2026-02-17,6,within_source,Council,2,,minutes/2026/2026-02-16/2026-02-17_council-formal-meeting.md,
14 of 2025,2025-03-04,2025-03-04,"Adopt Ordinance 14 of 2025, approving a $100,000 loan for Cold Plunge Coffee, LLC from the Economic Development Loan Fund.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-03-04,6,within_source,Council,1,,minutes/2025/2025-03-03/2025-03-04_council-formal-meeting.md,
15 of 2025,2025-03-25,2025-03-25,"Close the public hearing and adopt Ordinance 15 of 2025 amending the Fiscal Year 2025 final budget of Salt Lake City including the employment staffing document, Item E-1: Lead Hazard Reduction Grant ($3,998,800.21 – one-time Miscellaneous Grant Fund)",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-03-25,3,within_source,Council,1,,minutes/2025/2025-03-24/2025-03-25_council-formal-meeting.md,
16 of 2025,2025-04-01,2025-04-01,"Accept and adopt the findings and recommendations of the Board of Equalization for the Central Business Improvement Area (CBIA-25) and adopt Ordinance 16 of 2025: Central Business Improvement Area 25 (CBIA-25) Assessment Ordinance, confirming the equalized assessment list, levying the assessment, and related matters.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-04-01,4,within_source,Council,1,,minutes/2025/2025-03-31/2025-04-01_council-formal-meeting.md,
17 of 2025,2025-04-15,2025-04-15,Close the public hearing and adopt Ordinance 17 of 2025 (Yalecrest-Upper Yale Local Historic District),https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,5-1 Pass,2025-04-15,3,within_source,Council,1,,minutes/2025/2025-04-14/2025-04-15_lba-and-council-formal-meeting.md,
18 of 2025,2025-04-15,2025-04-15,Close the public hearing and adopt Ordinance 18 of 2025 (Permitting Outdoor Theaters in Commercial Districts),https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2025-04-15,4,within_source,Council,1,,minutes/2025/2025-04-14/2025-04-15_lba-and-council-formal-meeting.md,
19 of 2025,2025-04-15,2025-04-15,"Close the public hearing and adopt Ordinance 19 of 2025 (Zoning Map Amendment at approximately 273 East 800 South), which includes the condition of a development agreement",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,5-1 Pass,2025-04-15,5,within_source,Council,1,,minutes/2025/2025-04-14/2025-04-15_lba-and-council-formal-meeting.md,
20 of 2025,2025-04-15,2025-04-15,Adopt Ordinance 20 of 2025 enacting temporary zoning regulations authorizing a temporary increase in overnight capacity at the Youth Homeless Resource Center at 888 South 400 West,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2025-04-15,14,within_source,Council,1,,minutes/2025/2025-04-14/2025-04-15_lba-and-council-formal-meeting.md,
21 of 2025,2025-04-15,2025-04-15,Adopt Ordinance 21 of 2025 approving a Memorandum of Understanding (MOU) between Salt Lake City and the Salt Lake City Police Association,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2025-04-15,12,within_source,Council,1,,minutes/2025/2025-04-14/2025-04-15_lba-and-council-formal-meeting.md,
22 of 2025,2025-04-15,2025-04-15,Adopt Ordinance 22 of 2025 enacting temporary zoning regulations authorizing a temporary increase in overnight capacity at the Geraldine E. King Women's Resource Center at approximately 131 East 700 South,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2025-04-15,15,within_source,Council,1,,minutes/2025/2025-04-14/2025-04-15_lba-and-council-formal-meeting.md,
23 of 2025,2025-04-15,2025-04-15,Adopt Ordinance 23 of 2025 enacting temporary zoning regulations authorizing a temporary increase in overnight capacity at the Gail Miller Resource Center at 242 West Paramount Avenue,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2025-04-15,16,within_source,Council,1,,minutes/2025/2025-04-14/2025-04-15_lba-and-council-formal-meeting.md,
24 of 2025,2025-04-15,2025-04-15,Adopt Ordinance 24 of 2025 enacting temporary zoning regulations authorizing a temporary increase in overnight capacity at the St. Vincent de Paul Center at 437 West 200 South,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2025-04-15,17,within_source,Council,1,,minutes/2025/2025-04-14/2025-04-15_lba-and-council-formal-meeting.md,
25 of 2025,2025-05-06,2025-05-06,"Adopt Ordinance 25 of 2025, approving City Flag designs and standards for display of a City Flag",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-05-06,12,within_source,Council,1,,minutes/2025/2025-05-05/2025-05-06_revised-lba-cra-and-council-formal-meeting.md,
26 of 2025,2025-05-06,2025-05-06,"Close the public hearing and adopt Ordinance 26 of 2025, vacating a City-owned alley between approximately 2615 South and 2700 South, and between Beverly Street and Chadwick Streets",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2025-05-06,8,within_source,Council,1,,minutes/2025/2025-05-05/2025-05-06_revised-lba-cra-and-council-formal-meeting.md,
27 of 2025,2025-05-06,2025-05-06,"Close the public hearing and adopt Ordinance 27 of 2025, Budget Amendment No. 5 for all items except Council-added items I-2 (contribution to Mead Avenue underpass) and I-3 (contribution to Art in District 4), and defer action on Items I-2 and I-3 to a future Council Meeting",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-05-06,9,within_source,Council,1,,minutes/2025/2025-05-05/2025-05-06_revised-lba-cra-and-council-formal-meeting.md,
28 of 2025,2025-05-06,2025-05-06,"Adopt Ordinance 28 of 2025, vacating a portion of City-owned alley adjacent to properties at approximately 1409 South Edison Street and 1404 South 200 East",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2025-05-06,11,within_source,Council,1,,minutes/2025/2025-05-05/2025-05-06_revised-lba-cra-and-council-formal-meeting.md,
29 of 2025,2025-05-20,2025-05-20,"Close the public hearing and adopt Ordinance 29 of 2025, amending the FY 2025 final budget of the Salt Lake City Library including the employment staffing document",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-05-20,9,within_source,Council,1,,minutes/2025/2025-05-19/2025-05-20_lba-cra-and-council-formal-meeting.md,
30 of 2025,2025-06-03,2025-06-03,"Adopt Ordinance 30 of 2025, approving a $200,000 loan for Hruskas LLC from the Economic Development Loan Fund.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-06-03,7,within_source,Council,1,,minutes/2025/2025-06-02/2025-06-03_lba-cra-and-council-formal-meeting.md,
31 of 2025,2025-06-10,2025-06-10,"Adopt Ordinance 31 of 2025, approving the budget for the Library Fund of Salt Lake City for Fiscal Year 2025-26",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-06-10,7,within_source,Council,1,,minutes/2025/2025-06-09/2025-06-10_lba-cra-and-council-formal-meeting.md,
32 of 2025,2025-06-10,2025-06-10,"Adopt Ordinance 32 of 2025, approving Salt Lake City's Fiscal Year 2025-26 budget excluding the schedule for capital projects and debt and the Library Fund, including contingent appropriations as listed on the motion sheet under Motion #2, Items A and B",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-06-10,6,within_source,Council,1,,minutes/2025/2025-06-09/2025-06-10_lba-cra-and-council-formal-meeting.md,
33 of 2025,2025-06-10,2025-06-10,"Adopt Ordinance 33 of 2025, setting the final rate of tax levy including the final levy for the Library Fund for Fiscal Year 2025-26, and authorize the Council Chair to sign necessary documentation for the State Tax Commission",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-06-10,8,within_source,Council,1,,minutes/2025/2025-06-09/2025-06-10_lba-cra-and-council-formal-meeting.md,
34 of 2025,2025-06-10,2025-06-10,"Adopt Ordinance 34 of 2025, amending various fees and fee information set forth in the Salt Lake City Consolidated Fee Schedule",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-06-10,9,within_source,Council,1,,minutes/2025/2025-06-09/2025-06-10_lba-cra-and-council-formal-meeting.md,
35 of 2025,2025-06-10,2025-06-10,"Adopt Ordinance 35 of 2025, approving a compensation adjustment for elected and statutory officers and executive municipal officers of Salt Lake City",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-06-10,10,within_source,Council,1,,minutes/2025/2025-06-09/2025-06-10_lba-cra-and-council-formal-meeting.md,
36 of 2025,2025-06-10,2025-06-10,"Adopt Ordinance 36 of 2025, appropriating necessary funds to implement for Fiscal Year 2025-26 the provisions of the MOU between Salt Lake City and AFSCME Local 1004",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-06-10,12,within_source,Council,1,,minutes/2025/2025-06-09/2025-06-10_lba-cra-and-council-formal-meeting.md,
37 of 2025,2025-06-10,2025-06-10,"Adopt Ordinance 37 of 2025, approving a compensation plan for all non-represented employees of Salt Lake City",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-06-10,11,within_source,Council,1,,minutes/2025/2025-06-09/2025-06-10_lba-cra-and-council-formal-meeting.md,
38 of 2025,2025-06-10,2025-06-10,"Adopt Ordinance 38 of 2025, appropriating the necessary funds to implement for Fiscal Year 2025-26 the provisions of the MOU between Salt Lake City and the International Association of Firefighters Local 81",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-06-10,13,within_source,Council,1,,minutes/2025/2025-06-09/2025-06-10_lba-cra-and-council-formal-meeting.md,
39 of 2025,2025-06-10,2025-06-10,"Adopt Ordinance 39 of 2025, amending Section 2.54.030 of the Salt Lake City Code to update policies and restrictions related to the use of City owned motor vehicles",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-06-10,14,within_source,Council,1,,minutes/2025/2025-06-09/2025-06-10_lba-cra-and-council-formal-meeting.md,
40 of 2025,2025-06-10,2025-06-10,"Adopt Ordinance 40 of 2025, amending Sections 12.56.140, 12.56.150, 12.56.160 and 12.56.200 of the Salt Lake City Code to update time frames, dates, and processes related to parking and parking enforcement",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-06-10,15,within_source,Council,1,,minutes/2025/2025-06-09/2025-06-10_lba-cra-and-council-formal-meeting.md,
41 of 2025,2025-06-10,2025-06-10,"Adopt Ordinance 41 of 2025, amending sections of the Salt Lake City Code pertaining to the responsibilities of the Department of Public Services and the Department of Community and Neighborhoods",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-06-10,16,within_source,Council,1,,minutes/2025/2025-06-09/2025-06-10_lba-cra-and-council-formal-meeting.md,
42 of 2025,2025-06-10,2025-06-10,"Adopt Ordinance 42 of 2025, amending Chapter 17 of the Salt Lake City Code complying with rate study and regulatory requirements",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-06-10,18,within_source,Council,1,,minutes/2025/2025-06-09/2025-06-10_lba-cra-and-council-formal-meeting.md,
43 of 2025,2025-06-10,2025-06-10,"Adopt Ordinance 43 of 2025, annexing certain unincorporated properties north-northeast of the Salt Lake International Airport and near the Salt Lake County border with Davis County, and adopt a Legislative Action requesting the administration to review the property at approximately 2699 West 3300 North for potential rezoning to M1-A",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2025-06-10,23,within_source,Council,1,,minutes/2025/2025-06-09/2025-06-10_lba-cra-and-council-formal-meeting.md,
44 of 2025,2025-07-01,2025-07-01,Close the public hearing and adopt Ordinance 44 of 2025 – Alley Closure at Madsen Park (approximately 9 North Chicago Street).,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2025-07-01,3,within_source,Council,1,,minutes/2025/2025-06-30/2025-07-01_council-formal-meeting.md,
45 of 2025,2025-07-01,2025-07-01,Close the public hearing and adopt Ordinance 45 of 2025 – Zoning Map Amendment at approximately 128 North N Street.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2025-07-01,4,within_source,Council,1,,minutes/2025/2025-06-30/2025-07-01_council-formal-meeting.md,
46 of 2025,2025-07-01,2025-07-01,Close the public hearing and adopt Ordinance 46 of 2025 – Text Amendment Replacing Public Hearing Requirements for Appeals and Variances with Public Meetings.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-07-01,5,within_source,Council,1,,minutes/2025/2025-06-30/2025-07-01_council-formal-meeting.md,
47 of 2025,2025-07-08,2025-07-08,"Adopt Ordinance 47 of 2025, approving the Mixed-Use Zoning consolidation petition and accompanying ordinances including a geographically specific stepback in the Sugar House additional height area, setting the effective date three months after adoption, and adopting legislative actions to review interior block study for potential downzones, update the Central Community master plan, review on-street parking policies, and request the administration review standards for new construction adjacent to contributing structures in historic districts.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,4-3 Pass,2025-07-08,4,medium,Council,1,,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,
48 of 2025,2025-08-12,2025-08-12,"Close public hearing and adopt Ordinance 48 of 2025, Zoning Text Amendment - Parking Regulations in the Downtown Zoning Districts.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2025-08-12,3,medium,Council,1,,minutes/2025/2025-08-11/2025-08-12_council-formal-meeting.md,
49 of 2025,2025-08-12,2025-08-12,"Close the public hearing and adopt Ordinance 49 of 2025, Text Amendment – Chapter 11.14 Parties, Gatherings, or Events.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-08-12,4,within_source,Council,1,,minutes/2025/2025-08-11/2025-08-12_council-formal-meeting.md,
50 of 2025,2025-08-19,2025-08-19,"Close the public hearing and adopt Ordinance 50 of 2025, Amending the Administrative Hearing Process.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-08-19,1,within_source,Council,1,,minutes/2025/2025-08-18/2025-08-19_council-formal-meeting.md,
51 of 2025,2025-08-19,2025-08-19,"Adopt Ordinance 51 of 2025, Design Review Standards Amendment.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2025-08-19,2,medium,Council,1,,minutes/2025/2025-08-18/2025-08-19_council-formal-meeting.md,
53 of 2025,2025-09-02,2025-09-02,"Adopt Ordinance 53 of 2025, amending the annual compensation plan for all non-represented employees for the fiscal year 2025-26.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-09-02,10,within_source,Council,1,,minutes/2025/2025-09-01/2025-09-02_revised-council-formal-meeting.md,
54 of 2025,2025-09-09,2025-09-09,"Close the public hearing and consider each item separately for Ordinance 54 of 2025, Budget Amendment #1 for FY 2025-26",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2025-09-09,3,within_source,Council,1,,minutes/2025/2025-09-08/2025-09-09_revised-council-formal-meeting.md,
56 of 2025,2025-09-09,2025-09-09,Adopt Ordinance 56 of 2025 for a Zoning Map Amendment at approximately 247 North 800 West,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2025-09-09,8,within_source,Council,1,,minutes/2025/2025-09-08/2025-09-09_revised-council-formal-meeting.md,
57 of 2025,2025-09-09,2025-09-09,Adopt Ordinance 57 of 2025 for a Zoning Map Amendment / Development Agreement for the Delta Center Parking Garage at approximately 301 West South Temple,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2025-09-09,10,within_source,Council,1,,minutes/2025/2025-09-08/2025-09-09_revised-council-formal-meeting.md,
58 of 2025,2025-10-07,2025-10-07,"Close the public hearing and adopt Ordinance 58 of 2025, Incentives for Building Preservation/Adaptive Reuse Zoning Text Amendment.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2025-10-07,5,medium,Council,1,,minutes/2025/2025-10-06/2025-10-07_council-formal-meeting.md,
59 of 2025,2025-10-07,2025-10-07,"Close the public hearing and adopt Ordinance 59 of 2025, Alley Vacation at 1470 East 1300 South.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2025-10-07,7,medium,Council,1,,minutes/2025/2025-10-06/2025-10-07_council-formal-meeting.md,
60 of 2025,2025-10-07,2025-10-07,"Close the public hearing and adopt Ordinance 60 of 2025, designating 276 East 300 South & 310 South 300 East as Local Landmark Sites.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2025-10-07,8,within_source,Council,1,,minutes/2025/2025-10-06/2025-10-07_council-formal-meeting.md,
61 of 2025,2025-10-07,2025-10-07,"Adopt Ordinance 61 of 2025, Alley Vacation adjacent to 373 West American Ave and 389 West American Ave.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2025-10-07,10,medium,Council,1,,minutes/2025/2025-10-06/2025-10-07_council-formal-meeting.md,
62 of 2025,2025-10-07,2025-10-07,"Adopt Ordinance 62 of 2025, amending Salt Lake City Code sections 2.84.020 & 2.84.030 to allow for the modification of the capacity of the Salt Lake City Justice Court.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2025-10-07,11,within_source,Council,1,,minutes/2025/2025-10-06/2025-10-07_council-formal-meeting.md,
63 of 2025,2025-10-21,2025-10-21,"Close the public hearing and adopt Ordinance 63 of 2025, Text Amendment to Modify Residential Buffer Prohibitions.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2025-10-21,4,within_source,Council,1,,minutes/2025/2025-10-20/2025-10-21_council-formal-meeting.md,
64 of 2025,2025-10-21,2025-10-21,"Close the public hearing and adopt Ordinance 64 of 2025, Patriot Rail Street Vacations.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2025-10-21,6,within_source,Council,1,,minutes/2025/2025-10-20/2025-10-21_council-formal-meeting.md,
65 of 2025,2025-10-21,2025-10-21,"Close the public hearing and approve Ordinance 65 of 2025, adopting items A-2 (National League of Cities Summit Costs), A-6 (Modification of Appointed Position and Police Department), and A-11 (Assistance for Airport Federal Partners Due to Government Shutdown), deferring action on remaining items to a future Council meeting.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2025-10-21,7,within_source,Council,1,,minutes/2025/2025-10-20/2025-10-21_council-formal-meeting.md,
66 of 2025,2025-10-21,2025-10-21,"Adopt Ordinance 66 of 2025, vacating the 1100 West street segment and denying vacating the 400 South street segment adjacent to the applicant's property at 1101 West 400 South.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,4-2 Pass,2025-10-21,11,within_source,Council,1,,minutes/2025/2025-10-20/2025-10-21_council-formal-meeting.md,
