candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes
Tonja Blonquist Hanson,County Council,2024,2024-09-25,Pre-Election,statement,640.86,640.86,,0.00,,,,,,,,0,0,raw/2024/24237_Hanson-Pre-Election-2024-General.pdf,24237,high,"form_variant=single_total_2024; column order current_report | previous_report | cumulative_total | promotion: contributions[current (cumulative prints zero against a non-zero row)]; expenditures[current (cumulative prints zero against a non-zero row)]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed 2024 sheet; the CUMULATIVE column prints $0.00 on every row against a Current of 640.86 — a filer inconsistency (the template's default $0.00 left in place), retained verbatim and NOT promoted over the Current figure by the builder (see the module's promotion rule)."
Tory Welch,County Council,2024,2024-12-30,Post-Election,statement,7113.58,4638.89,,,,,,,,,,0,0,raw/2024/24708_Welch-Post-Election-2024-General.pdf,24708,high,"form_variant=single_total_2024; column order current_report | previous_report | cumulative_total | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[none (no parseable cell in this row: empty/empty/empty)] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed 2024 sheet, same figures as the filer's Pre-Election copy (doc 24234) EXCEPT the campaign-balance row, whose Current cell still shows the fillable-form PLACEHOLDER text 'Type text here' — i.e. the cell was never filled. Recorded blank, never the 509.44 from 24234. Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Tory Welch,County Council,2024,2024-10-30,Pre-Election,statement,7113.58,4638.89,,509.44,,,,,,,,0,0,raw/2024/24234_Welch-Pre-Election-2024-General.pdf,24234,high,"form_variant=single_total_2024; column order current_report | previous_report | cumulative_total | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed 2024 sheet; Previous Report column left blank. Filer's own arithmetic does not close (7,113.58 - 4,638.89 = 2,474.69, not 509.44) — retained exactly as filed. Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Dallin H Donaldson,County Recorder/Surveyor,2024,2023-02-05,Withdrawn,statement,,754.95,,-754.95,,,,,,,,0,0,raw/2024/23014_Donaldson-Final-2024-Financial-Disclosure.pdf,23014,high,"form_variant=single_total_2024; column order current_report | previous_report | cumulative_total | promotion: contributions[none (no parseable cell in this row: empty/empty/empty)]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | 2024 sheet, handwritten, legible despite the 'low' OCR sidecar. ONLY the Cumulative Total column is filled (expenditures 754.95, balance -754.95); the contributions row is entirely EMPTY and the Current/Previous columns are empty — an honest filer blank, never imputed. Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged. The filer wrote 2/5/2023 — a year BEFORE the 2024 cycle. Retained exactly as filed (filer arithmetic/date errors are never repaired); read it as the filer's own entry, not a corrected filing date."
Greg R. Wolbach,County Recorder/Surveyor,2024,2024-11-12,Post-Election,statement,1083.40,1083.40,,0.00,,,,,,,,0,0,raw/2024/24390_Wolbach-Post-Election-2024-General.pdf,24390,high,"form_variant=single_total_2024; column order current_report | previous_report | cumulative_total | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten 2024 sheet, legible; cents written as superscripts. Column-order cross-check: Previous Report reproduces doc 24240's Current figure (1,068.68) exactly."
Greg R. Wolbach,County Recorder/Surveyor,2024,2024-10-24,Pre-Election,statement,1068.68,1068.68,,0.00,,,,,,,,0,0,raw/2024/24240_Wolbach-Pre-Election-2024-General.pdf,24240,high,"form_variant=single_total_2024; column order current_report | previous_report | cumulative_total | promotion: contributions[current (cumulative cell empty)]; expenditures[current (cumulative cell empty)]; ending_balance[current (cumulative cell empty)] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten 2024 sheet, legible. The filer annotated the contributions cell '(SELF)' — a self-funding note kept here, not promoted to any donor_type (no itemized layer in this tranche). Previous Report and Cumulative columns left blank."
Francis Anthony Smith,County Sheriff,2024,2024-12-03,Post-Election,statement,501.55,501.55,,0.00,,,,,,,,0,0,raw/2024/24388_Smith-Post-Election-2024-General.pdf,24388,medium,"form_variant=single_total_2024; column order current_report | previous_report | cumulative_total | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten 2024 sheet. Current cells are a slashed-zero nil mark (blank). In the CUMULATIVE column the filer wrote '501' with a superscript '55' ABOVE the pre-printed '$ 0.00' and struck the printed zero — read as 501.55, medium confidence. Previous column reads 501 with superscript 55. Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Francis Anthony Smith,County Sheriff,2024,2024-10-29,Pre-Election,statement,501.55,501.55,,0.00,,,,,,,,0,0,raw/2024/24239_Smith-Pre-Election-2024-General.pdf,24239,medium,"form_variant=single_total_2024; column order current_report | previous_report | cumulative_total | promotion: contributions[current (cumulative prints zero against a non-zero row)]; expenditures[current (cumulative prints zero against a non-zero row)]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten 2024 sheet, messy. Contribution and expenditure figures are written as '501' with a superscript '55' (read 501.55) in both the Current and Previous columns; the expenditure cells additionally carry a struck-through scribble that cannot be resolved and was NOT transcribed. The Cumulative column prints the template default $ 0.00 on every row against non-zero Current figures — retained verbatim. Balance Current/Previous cells are a slashed-zero nil mark (blank). Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Corrie Forsling,County Treasurer,2024,2024-12-05,Post-Election,statement,754.95,754.95,,754.95,,,,,,,,0,0,raw/2024/24393_Forsling-Post-Election-2024-General.pdf,24393,high,"form_variant=single_total_2024; column order current_report | previous_report | cumulative_total | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed 2024 sheet. Column-order cross-check: Previous Report reproduces doc 24244's Current figures. The balance row again repeats 754.95 (same filer error as 24244), retained verbatim. Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Corrie Forsling,County Treasurer,2024,2024-10-29,Pre-Election,statement,754.95,754.95,,754.95,,,,,,,,0,0,raw/2024/24244_Forsling-Pre-Election-2024-General.pdf,24244,high,"form_variant=single_total_2024; column order current_report | previous_report | cumulative_total | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed 2024 sheet. The campaign-balance row repeats $754.95 even though contributions equal expenditures (balance should be zero) — a filer error, retained verbatim. Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Margaret Olson,County Attorney,2026,2026-06-06,Primary,statement,1140.39,1140.39,,0,,,,,,,,0,0,raw/2026/27205_Olson-Disclosure-2026-Primary_Redacted.pdf,27205,high,"form_variant=single_total_2026; column order current_report | last_report | cumulative_totals | promotion: contributions[current (cumulative prints zero against a non-zero row)]; expenditures[current (cumulative prints zero against a non-zero row)]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten 2026 sheet, legible despite the 'low' OCR sidecar. The 'Name of Office' box is EMPTY on the form — the office (County Attorney) comes from the county portal listing, NOT from this document. Cents written as superscripts; the balance cell is written '0-'. Address redacted by the county. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Cindy Keyes,County Auditor,2026,2026-06-06,Primary,statement,843.42,843.42,,0,,,,,,,,0,0,raw/2026/27203_Keyes-Disclosure-2026-Primary_Redacted.pdf,27203,high,"form_variant=single_total_2026; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Born-digital 2026 sheet; address and city/state/zip redacted by the county. Zero cells print the Excel zero-dash '-' rather than 0.00 — recorded as printed. Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Malena Stevens,County Clerk,2026,2026-04-10,Appointment Report,statement,2775.00,1500.84,,1703.58,,,,,,,,0,0,raw/2026/26742_Malena-Stevens-2026-Appointment.pdf,26742,high,"form_variant=single_total_2026; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | FORM-VARIANT SEAM: the 2026 sheet moves the office to a 'Name of Office' box and adds a City/State/Zip field; the cover box keeps the Current | Last | Cumulative order. Address and city/state/zip REDACTED by the county (black boxes). Last Report cells print a bare '$   -' (an Excel zero-dash) — recorded as printed. Indexed as an Appointment Report. Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Malena Stevens,County Clerk,2026,2026-04-10,Primary,statement,2775.00,1500.84,,1703.58,,,,,,,,0,0,raw/2026/27210_Stevens-Disclosure-2026-Primary_Redacted.pdf,27210,high,"form_variant=single_total_2026; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Identical printed content to doc 26742 — the county published the same sheet twice, once as the Appointment Report (26742) and once as the Primary report (27210). Both transcribed; do not double-count in any cycle rollup. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Suni Woolstenhulme,County Clerk,2026,2026-06-08,Primary,statement,1610.24,1249.02,,361.22,,,,,,,,0,0,raw/2026/27212_Woolstenhulme-Disclosure-2026-Primary_Redacted.pdf,27212,high,"form_variant=single_total_2026; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten 2026 sheet, legible; address redacted by the county. Figures written with a trailing dash after the cents. Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Canice Harte,County Council,2026,2026-06-07,Primary,statement,1109.63,208.06,,1011.20,,208.06,,True,,0.00,0.00,0,4,raw/2026/27200_Harte-Disclosure-2026-Primary_Redacted.pdf,27200,high,"form_variant=single_total_2026; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | ITEMIZED LAYER: 0 contribution / 4 expenditure row(s) parsed by the registered `summit_form` family from the born-digital text layer, each side reconciled EXACTLY to the published stated total; per-row `geometry` records the amount cell read | family: cover columns: current|middle|cumulative (Summit order is Current FIRST — never the millcreek LAST|THIS|CUM); contributions: promoted cumulative; expenditures: promoted cumulative; balance: promoted cumulative; contributions: 2 row(s) NOT emitted — the ledger is PERIOD-scoped (Sum rows 1000.00 = the Current column) under a CUMULATIVE cover (1109.63) -- publishing them against a cycle total would state an incoherent pair | Born-digital 2026 sheet; address and phone REDACTED by the county. All three columns printed. Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Christie Babalis,County Council,2026,2026-06-09,Primary,statement,12800,15043.79,,-2243.79,,,,,,,,0,0,raw/2026/27197_Babalis-Disclosure-2026-Primary_Redacted.pdf,27197,high,"form_variant=single_total_2026; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten 2026 sheet, legible; address redacted by the county. Contribution figures written '12,800' with a dash for cents. Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
John Kucera,County Council,2026,2026-07-22,Final,statement,14039.72,13160.87,,878.85,,,,,,,,0,0,raw/2026/27451_Kucera-Diclsoure-2026-Final_Redacted.pdf,27451,high,"form_variant=single_total_2026; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Born-digital 2026 Final report, not redacted. Column-order cross-check: Last Report reproduces doc 27204's Current figures exactly (10,280.83 / 7,608.62 / 2,672.21). SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
John Kucera,County Council,2026,2026-06-07,Primary,statement,10280.83,7608.62,,2672.21,,,,,,,,0,0,raw/2026/27204_Kucera-Disclosure-2026-Primary_Redacted.pdf,27204,high,"form_variant=single_total_2026; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Born-digital 2026 sheet, NOT redacted (address and phone printed). Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged. Written with an ordinal ('June 7th 2026'); kept verbatim."
Meredith Reed,County Council,2026,2026-07-23,Final,statement,2292.95,8648.60,,-6355.65,,,,,,,,0,0,raw/2026/27450_Reed-Disclosure-2026-Final-Report_Redacted.pdf,27450,high,"form_variant=single_total_2026; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Born-digital 2026 Final report. Column-order cross-check: Last Report reproduces doc 27208's Current figures exactly, including the parenthesised negative balance. City/State/Zip printed (Park City UT 84098); street and phone redacted. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Meredith Reed,County Council,2026,2026-06-09,Primary,statement,2042.95,7696.20,,-5653.25,,,,,,,,0,0,raw/2026/27208_Reed-Disclosure-2026-Primary_Redacted.pdf,27208,high,"form_variant=single_total_2026; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Born-digital 2026 sheet (spreadsheet gridlines visible); address and phone redacted by the county. Negative balance printed in accounting parentheses. Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Kacey Bates,County Sheriff,2026,2026-05-18,Primary,statement,1066.44,1066.44,,0,,,,,,,,0,0,raw/2026/27198_Bates-Disclosure-2026-Primary_Redacted.pdf,27198,medium,"form_variant=single_total_2026; column order current_report | last_report | cumulative_totals | promotion: contributions[current (cumulative prints zero against a non-zero row)]; expenditures[current (cumulative prints zero against a non-zero row)]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten 2026 sheet over a busy RECEIVED MAY 18 2026 stamp (index text_quality=low; legible at 200dpi). The Current campaign-balance cell has '1,066.44' struck out and '0.00' written below it — the struck figure is NOT transcribed as the value. Address redacted by the county. Last and Cumulative cells print the Excel zero-dash. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
