ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,disposition
25-25,2025-06-24,2025-06-24,a Master Development Agreement/Plan,https://www.westjordan.utah.gov/wp-content/uploads/2025/06/Ordinance-No.-25-25-Approving-MDA-for-Merced-Creek-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-25-Approving-MDA-for-Merced-Creek-signed.pdf,Y,7-0 Pass,2025-06-24,2,high,adopted
25-26,2025-06-24,2025-06-24,a General Plan Land Use Map Amendment and Rezone to Planned Community Zone and adding the Interchange Overlay Zone,https://www.westjordan.utah.gov/wp-content/uploads/2025/06/Ordinance-No.-25-26-Approving-Map-Amendments-for-Merced-Creek-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-26-Approving-Map-Amendments-for-Merced-Creek-signed.pdf,Y,7-0 Pass,2025-06-24,3,high,adopted
25-27,2025-06-24,2025-06-24,Patrial Street Right-of-Way Vacation and Surplus of Real Property for Merced Creek (20.60 acres located at 5600 West 8600 South),meeting_minutes/minutes/2025/2025-06-23/2025-06-24_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2025-06-24,4,within_source,adopted
25-28,2025-06-24,2025-06-24,for a Future Land Use Map Amendment of approximately 0.625 acres of property to Medium-Density Residential and a rezone to Single-Family Residential (R-1-5) for Parker Place II located at 1739 West Dr,https://www.westjordan.utah.gov/wp-content/uploads/2025/06/Ordinance-No.-25-28-Parker-Place-II-GPLUM-Amd-Rezone-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-28-Parker-Place-II-GPLUM-Amd-Rezone-signed.pdf,Y,6-1 Pass,2025-06-24,1,high,adopted
25-29,2025-06-24,2025-06-24,"amending the City’s Annual Budget for the fiscal year ending June 30, 2025",meeting_minutes/minutes/2025/2025-06-23/2025-06-24_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2025-06-24,5,within_source,adopted
25-30,2025-07-22,2025-07-22,a rezone of 2.70 acres adding the Infill Development Overlay Zone (IDO- 1) to a parcel located at 8399 South Dunlop Drive,https://www.westjordan.utah.gov/wp-content/uploads/2025/08/Ordinance-No.-25-30-Lumina-Rezone-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-30-Lumina-Rezone-signed.pdf,Y,6-0 Pass,2025-07-22,2,high,adopted
25-31,,2025-07-22,amending Land Use Tables in Chapter 13 to remove “Massage Therapy” as a Permitted or Conditional Use to the Committee of the Whole,meeting_minutes/minutes/2025/2025-07-21/2025-07-22_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,4-2 Pass,2025-07-22,4,within_source,unclear
25-32,2025-07-22,2025-07-22,a rezone of 0.865 acres to C-G Zone (General Commercial) at 1394 West and 1378 West 7800 South for Sprinkler Supply Hardscape Expansion,https://www.westjordan.utah.gov/wp-content/uploads/2025/08/Ordinance-No.-25-32-Sprinkler-Supply-Rezone-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-32-Sprinkler-Supply-Rezone-signed.pdf,Y,6-0 Pass,2025-07-22,3,high,adopted
25-34,2025-08-26,2025-08-26,Amending Title 13-5B-8 External Accessory Dwelling Units,https://www.westjordan.utah.gov/wp-content/uploads/2025/09/Ordinance-No.-25-34-Amd-13-5B-8B-External-ADUs-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-34-Amd-13-5B-8B-External-ADUs-signed.pdf,Y,7-0 Pass,2025-08-26,3,high,adopted
25-35,2025-08-26,2025-08-26,setting the 2025 Property Tax Rate at .001328,meeting_minutes/minutes/2025/2025-08-25/2025-08-26_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,5-2 Pass,2025-08-26,6,within_source,adopted
25-36,2025-08-26,2025-08-26,adopting the Final Budget for the City of West Jordan Fiscal Year 2026,meeting_minutes/minutes/2025/2025-08-25/2025-08-26_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-1 Pass,2025-08-26,7,within_source,adopted
25-37,2025-08-26,2025-08-26,"Amendments to City Code on Storage of Commercial Vehicles in Residential Zones (Sections 13-2-3, 13-5B-7, 13-8-14) to Update Permitted Vehicle/Equipment Types and Add Related Definitions",meeting_minutes/minutes/2025/2025-08-25/2025-08-26_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,5-2 Pass,2025-08-26,4,within_source,adopted
25-38,2025-09-09,2025-09-09,Petition from South Valley Water Reclamation Facility for a Future Land Use Map Amendment and Rezone of 6.508 Acres at 7495 South 1300 West to the Public Facilities Zone,https://www.westjordan.utah.gov/wp-content/uploads/2025/09/Ordinance-No.-25-38-South-Valley-Water-Reclamation-Facility-Rezone-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-38-South-Valley-Water-Reclamation-Facility-Rezone-signed.pdf,Y,6-0 Pass,2025-09-09,2,high,adopted
25-39,2025-09-09,2025-09-09,adopting the 2025 Sanitary Sewer Master Plan,meeting_minutes/minutes/2025/2025-09-08/2025-09-09_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2025-09-09,1,within_source,adopted
25-40,2025-08-26,2025-08-26,a Master Development Agreement for Visionary Square,https://www.westjordan.utah.gov/wp-content/uploads/2025/09/Ordinance-No.-25-40-Visionary-Square-MDA-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-40-Visionary-Square-MDA-signed.pdf,Y,7-0 Pass,2025-08-26,1,high,adopted
25-41,2025-08-26,2025-08-26,a Future Land Use Map Amendment for Visionary Square of 6.81 acres to Professional Office and Rezone of 2.9 acres to P-O (Professional Office) Zone,https://www.westjordan.utah.gov/wp-content/uploads/2025/08/Ordinance-No.-25-41-Visionary-Square-Rezone-GPLUM-Amd-signed-002.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-41-Visionary-Square-Rezone-GPLUM-Amd-signed-002.pdf,Y,7-0 Pass,2025-08-26,2,high,adopted
25-43,2025-09-23,2025-09-23,amending the General Plan to create a “Corridor” land use,https://www.westjordan.utah.gov/wp-content/uploads/2025/09/Ordinance-No.-25-43-Corridor-Land-Use-General-Plan-Text-Amendment-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-43-Corridor-Land-Use-General-Plan-Text-Amendment-signed.pdf,Y,7-0 Pass,2025-09-23,1,high,adopted
25-44,2025-09-23,2025-09-23,amending the Future Land Use Map to apply the “Corridor” designation to approximately 56 acres of land along Redwood Road,https://www.westjordan.utah.gov/wp-content/uploads/2025/09/Ordinance-No.-25-44-Amd-GPLUM-for-Corridor-Designation-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-44-Amd-GPLUM-for-Corridor-Designation-signed.pdf,Y,7-0 Pass,2025-09-23,2,high,adopted
25-45,2025-09-23,2025-09-23,a Sub-Area Development Plan for Dry Creek Highlands Sub-Area 2,meeting_minutes/minutes/2025/2025-09-22/2025-09-23_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2025-09-23,3,within_source,adopted
25-46,2025-09-23,2025-09-23,amending City Code Section 14-5-5 C (2) regarding traffic calming devices for new residential development,meeting_minutes/minutes/2025/2025-09-22/2025-09-23_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2025-09-23,4,within_source,adopted
25-47,2025-09-23,2025-09-23,adopting the Traffic Calming Manual and Standard Design Drawings for new developments as public improvement standards,meeting_minutes/minutes/2025/2025-09-22/2025-09-23_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2025-09-23,5,within_source,adopted
25-48,2025-12-16,2025-12-16,"adopting the West Jordan City Impact Fee Facilities Plan (IFFP), Impact Fee Analysis (IFA), and Impact Fees for Transportation",meeting_minutes/minutes/2025/2025-12-15/2025-12-16_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2025-12-16,6,within_source,adopted
25-51,,2025-10-14,petition to rename the cul-de-sac at 2290 West (off 7600 South) to Poison Spider Circle,meeting_minutes/minutes/2025/2025-10-13/2025-10-14_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-1 Pass,2025-10-14,2,within_source,denied
25-52,2025-10-28,2025-10-28,"Amendments to Title 4, Chapter 2, Article D (Home Occupations)",meeting_minutes/minutes/2025/2025-10-27/2025-10-28_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2025-10-28,3,within_source,adopted
25-54,,2025-10-28,to amend City Code adding Chapter 6 Golf Carts in Title 7,meeting_minutes/minutes/2025/2025-10-27/2025-10-28_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,3-4 Fail,2025-10-28,4,within_source,denied
25-55,2025-10-28,2025-10-28,"Amending City Code Section 13-2-3 Regarding the Definition of “Affordable Housing”, 13-8-23(B) Regarding Balanced Housing, and Enacting a New Article 13-5P Home Ownership Promotion Zone (HOPZ)",https://www.westjordan.utah.gov/wp-content/uploads/2025/11/Ordinance-No.-25-55-Amd-13-2-3-Affordable-Housing-Def-13-8-23-B-Balanced-Housing-Ch-13-5P-HOPZ-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-55-Amd-13-2-3-Affordable-Housing-Def-13-8-23-B-Balanced-Housing-Ch-13-5P-HOPZ-signed.pdf,Y,7-0 Pass,2025-10-28,1,high,adopted
25-56,,2025-12-02,"Amendments to Parking Lot Materials, Drainage Standards, and Related Definitions to come back no later than the first meeting in February 2026",meeting_minutes/minutes/2025/2025-12-01/2025-12-02_city-council-meeting-amended.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-1 Pass,2025-12-02,2,within_source,tabled
25-57,2025-12-02,2025-12-02,"Amending West Jordan City Code to Establish Public Art Regulations and Definitions, amending line 15 of the Legislative Draft to read “approval of Mayor or designee.” Vice Chair Bedore",meeting_minutes/minutes/2025/2025-12-01/2025-12-02_city-council-meeting-amended.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2025-12-02,4,within_source,adopted
25-58,2025-12-02,2025-12-02,amending West Jordan City Code Section 14-5-9 Utilities and Utility Easements,meeting_minutes/minutes/2025/2025-12-01/2025-12-02_city-council-meeting-amended.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2025-12-02,3,within_source,adopted
25-59,2025-11-18,2025-11-18,a Petition from Wixom Investments LLC to Rezone 1.47 acres from A-5 Zone to R-1-8 Zone for Sandra’s Place located at 1490 West 8600 South,https://www.westjordan.utah.gov/wp-content/uploads/2025/11/Ordinance-No.-25-59-Sandras-Place-Rezone.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-59-Sandras-Place-Rezone.pdf,Y,5-2 Pass,2025-11-18,2,high,adopted
25-60,2025-11-18,2025-11-18,"amending the Budget for Fiscal Year Ending June 30, 2026",meeting_minutes/minutes/2025/2025-11-17/2025-11-18_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2025-11-18,4,within_source,adopted
25-61,2025-12-02,2025-12-02,the 2026 Annual Meeting Schedule for City Council and Agency Boards,meeting_minutes/minutes/2025/2025-12-01/2025-12-02_city-council-meeting-amended.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2025-12-02,5,within_source,adopted
25-62,,2026-01-27,"a Petition from Wagstaff Investments, LLC / Brent Neel to Amend the Future Land Use Map Amendment for 3.73 acres to Neighborhood Commercial and Rezone the Property to SC-1 Zone for a Development Locat",meeting_minutes/minutes/2026/2026-01-26/2026-01-27_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,6-1 Pass,2026-01-27,2,within_source,denied
25-63,2025-12-16,2025-12-16,adoption of the West Jordan Wildland Urban Interface (WUI) Map and Code Modifications,meeting_minutes/minutes/2025/2025-12-15/2025-12-16_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2025-12-16,8,within_source,adopted
26-01,2026-01-13,2026-01-13,a Petition from Avery Steed / Fulmer Lucas Engineering to Rezone 86.14 acres to Professional Office and Amend the Future Land Use Map to Medium Density Residential for 42.27 acres and Professional Off,meeting_minutes/minutes/2026/2026-01-12/2026-01-13_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2026-01-13,2,within_source,adopted
26-03,2026-01-13,2026-01-13,"Amending the West Jordan City Code Title 13 and 15 Regarding Variances, Land Use Appeals, and Public Hearing and Noticing Requirements, with removal of the addition on line 38 as discussed",meeting_minutes/minutes/2026/2026-01-12/2026-01-13_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2026-01-13,3,within_source,adopted
26-04,2026-02-10,2026-02-10,"Amendments to Parking Lot Materials, Drainage Standards, and Related Definitions in West Jordan City Code Title 13",meeting_minutes/minutes/2026/2026-02-09/2026-02-10_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,6-1 Pass,2026-02-10,11,within_source,adopted
26-05,2026-02-10,2026-02-10,"a Petition from Titan Property Management, LLC to Rezone 14.73 Acres to Light Industrial (M-1) and Amend the Future Land Use Map (FLUM) to Light Industrial for the Titan West Jordan Project Located at",meeting_minutes/minutes/2026/2026-02-09/2026-02-10_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2026-02-10,3,within_source,adopted
26-06,2026-02-10,2026-02-10,"a Petition from Bryan Booth to Rezone 0.8 Acres to R-1-10 Zone (Single-Family Residential - 10,000 square foot lots) Located at 2307 West Joyli Circle",meeting_minutes/minutes/2026/2026-02-09/2026-02-10_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2026-02-10,4,within_source,adopted
26-07,2026-02-10,2026-02-10,"Proposed Amendments to West Jordan City Code - Title 4, Chapter 2, Article C (Christmas Tree Sales)",meeting_minutes/minutes/2026/2026-02-09/2026-02-10_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2026-02-10,6,within_source,adopted
26-08,2026-02-10,2026-02-10,"Proposed Amendments to West Jordan City Code - Title 4, Chapter 2, Article G (Arcades)",meeting_minutes/minutes/2026/2026-02-09/2026-02-10_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2026-02-10,7,within_source,adopted
26-09,2026-01-27,2026-01-27,"Amendments to West Jordan City Code Title 2, Chapter 6 and Title 3, Chapter 4 (Fee Waivers and City Support)",meeting_minutes/minutes/2026/2026-01-26/2026-01-27_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2026-01-27,1,within_source,adopted
26-10,2026-02-24,2026-02-24,"Amendments to West Jordan City Code Title 4, Chapter 2, Article H - Massage Establishments",meeting_minutes/minutes/2026/2026-02-23/2026-02-24_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-1 Pass,2026-02-24,2,within_source,adopted
26-11,2026-02-24,2026-02-24,"Amendments to West Jordan City Code Title 7, Chapters 3 and 4 - Truck Parking",meeting_minutes/minutes/2026/2026-02-23/2026-02-24_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2026-02-24,3,within_source,adopted
26-13,2026-03-10,2026-03-10,a Development Agreement • Ordinance No. 26-16 Amending the General Plan Future Land Use Map to Neighborhood Commercial and Rezone to SC-1 (Commercial),meeting_minutes/minutes/2026/2026-03-09/2026-03-10_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,4-3 Pass,2026-03-10,2,within_source,adopted
26-14,2026-02-24,2026-02-24,"Amendments to West Jordan City Code Title 1, Chapter 12 - Employee Appeal Process",meeting_minutes/minutes/2026/2026-02-23/2026-02-24_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2026-02-24,4,within_source,adopted
26-15,2026-03-10,2026-03-10,Amending West Jordan City Code 10-1-7 International Fire Code,meeting_minutes/minutes/2026/2026-03-09/2026-03-10_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2026-03-10,3,within_source,adopted
26-16,2026-03-10,2026-03-10,a Development Agreement • Ordinance No. 26-16 Amending the General Plan Future Land Use Map to Neighborhood Commercial and Rezone to SC-1 (Commercial),meeting_minutes/minutes/2026/2026-03-09/2026-03-10_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,4-3 Pass,2026-03-10,2,within_source,adopted
26-17,2026-03-24,2026-03-24,"Amendments to West Jordan City Code Title 6, Chapter 3D, Section 11 - Sale of Animals",meeting_minutes/minutes/2026/2026-03-23/2026-03-24_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2026-03-24,9,within_source,adopted
26-18,2026-03-24,2026-03-24,"Amendments to West Jordan City Code Title 13, Chapter 5B, Section 8 - Accessory Dwelling Units",meeting_minutes/minutes/2026/2026-03-23/2026-03-24_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,6-0 Pass,2026-03-24,5,within_source,adopted
26-19,2026-03-24,2026-03-24,"Amending West Jordan City Code Title 13, Chapter 6, Article K to Add Area D to the IOZ Map and Make Associated Technical Revisions and Clarifications",meeting_minutes/minutes/2026/2026-03-23/2026-03-24_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,5-1 Pass,2026-03-24,6,within_source,adopted
26-20,2026-04-28,2026-04-28,"Amending West Jordan City Code Section 13-5E-3, Permitted and Conditional Uses for SC-3 Zones",meeting_minutes/minutes/2026/2026-04-27/2026-04-28_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2026-04-28,2,within_source,adopted
26-21,2026-04-14,2026-04-14,"Amendments to West Jordan City Code Title 4, Chapter 2, Article K - Public Dances and Dance Studios",meeting_minutes/minutes/2026/2026-04-13/2026-04-14_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2026-04-14,1,within_source,adopted
26-22,2026-04-14,2026-04-14,"Amendments to West Jordan City Code Title 7, Chapters 1 & 2 - Traffic and Parking Chair Bedore",meeting_minutes/minutes/2026/2026-04-13/2026-04-14_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2026-04-14,2,within_source,adopted
26-23,2026-04-14,2026-04-14,"Amendments to West Jordan City Code Title 4, Chapter 2, Article T - Retail Tobacco Shops",meeting_minutes/minutes/2026/2026-04-13/2026-04-14_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2026-04-14,3,within_source,adopted
26-24,,2026-04-28,"Amendments to West Jordan City Code Title 7, Chapter 6 - Electric Bicycles back to the Committee of the Whole",meeting_minutes/minutes/2026/2026-04-27/2026-04-28_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2026-04-28,5,within_source,unclear
26-26,2026-06-09,2026-06-09,Fixing the Compensation for Elected and Statutory Officers of the City,https://www.westjordan.utah.gov/wp-content/uploads/2026/06/Ordinance-No.-26-26-Fixing-the-Compensation-of-Elected-Statutory-Officers-FY27-signed.pdf,2026-07-19,text,pdftotext -layout,raw/Ordinance-No.-26-26-Fixing-the-Compensation-of-Elected-Statutory-Officers-FY27-signed.pdf,N,5-1 Pass,2026-06-09,8,high,adopted
26-27,2026-06-09,2026-06-09,"Amending the City’s Annual Budget for the Fiscal Year Ending June 30, 2026",https://www.westjordan.utah.gov/wp-content/uploads/2026/06/Ordinance-No.-26-27-Amending-the-FY26-Budget-signed.pdf,2026-07-19,text,pdftotext -layout,raw/Ordinance-No.-26-27-Amending-the-FY26-Budget-signed.pdf,N,6-0 Pass,2026-06-09,10,high,adopted
26-28,2026-06-09,2026-06-09,a Petition from Utah Development Group/Marco Diaz to a Rezone of 0.43 Acres to an R-1-8 Zone for the Diaz Lot Located at 8305 South 2200 West,https://www.westjordan.utah.gov/wp-content/uploads/2026/06/Ordinance-No.-26-28-Diaz-Lot-Rezone-signed.pdf,2026-07-19,text,pdftotext -layout,raw/Ordinance-No.-26-28-Diaz-Lot-Rezone-signed.pdf,Y,5-0 Pass,2026-06-09,4,high,adopted
26-29,,2026-06-09,"Preliminary Development Plan/Agreement and Ordinance No. 26-30 Rezone to CC-R Zone (City Center-Residential) for the Sugar Factory on the Town Creek Development of 1.78 Acres Located at 1790 West Sugar Factory Road to a date no later than July 31, 2026",meeting_minutes/minutes/2026/2026-06-08/2026-06-09_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,5-0 Pass,2026-06-09,3,within_source,tabled
26-30,,2026-06-09,"Rezone to CC-R Zone (City Center-Residential) for the Sugar Factory on the Town Creek Development of 1.78 Acres Located at 1790 West Sugar Factory Road to a date no later than July 31, 2026",meeting_minutes/minutes/2026/2026-06-08/2026-06-09_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,5-0 Pass,2026-06-09,3,within_source,tabled
26-31,2026-06-09,2026-06-09,"a Petition from Margaret Hyatt for Approximately 3.457 Acres to Amend the General Plan Future Land Use Map to Community Commercial and Amend the Zoning Map to C-G Zone (General Commercial) for Properties Located at Approximately 4606, 4614, and 4622 West 7800 South (7800 South Commercial Property)",https://www.westjordan.utah.gov/wp-content/uploads/2026/06/Ordinance-No.-26-31-Approving-Zoning-and-General-Plan-Map-Amendments-for-7800-South-Commercial-signed.pdf,2026-07-19,text,pdftotext -layout,raw/Ordinance-No.-26-31-Approving-Zoning-and-General-Plan-Map-Amendments-for-7800-South-Commercial-signed.pdf,Y,5-0 Pass,2026-06-09,5,high,adopted
26-32,2026-06-23,2026-06-23,"Amending the Street Lighting Design and Construction Standards, Section 16500",https://www.westjordan.utah.gov/wp-content/uploads/2026/06/Ordinance-No.-26-32-Amd-Streetlight-Standards-signed.pdf,2026-07-19,text,pdftotext -layout,raw/Ordinance-No.-26-32-Amd-Streetlight-Standards-signed.pdf,N,7-0 Pass,2026-06-23,2,high,adopted
26-33,2026-06-23,2026-06-23,"amending City Code Title 1, Chapter 7 and Title 2, Chapter 1 Advice and Consent",https://www.westjordan.utah.gov/wp-content/uploads/2026/06/Ordinance-No.-26-33-Amd-Title-1-Ch-7-Title-2-Ch-1-Advice-and-Consent-signed.pdf,2026-07-19,text,pdftotext -layout,raw/Ordinance-No.-26-33-Amd-Title-1-Ch-7-Title-2-Ch-1-Advice-and-Consent-signed.pdf,N,7-0 Pass,2026-06-23,8,high,adopted
